Pos	Length
685	483
686	482
687	481
688	480
689	479
690	478
691	477
692	476
693	475
694	474
695	473
696	472
697	471
698	470
699	469
700	468
701	467
702	466
703	465
704	464
705	463
706	462
707	461
708	460
709	459
710	458
711	457
712	456
713	455
714	454
715	453
716	452
717	451
718	450
719	449
720	448
721	447
722	446
723	445
724	444
725	443
726	442
727	441
728	440
729	439
730	438
731	437
732	436
733	435
734	434
735	433
736	432
737	431
738	430
739	429
740	428
741	427
742	426
743	425
744	424
745	423
746	422
747	421
748	420
749	419
750	418
751	417
752	416
753	415
754	414
755	413
756	412
757	411
758	410
759	409
760	408
761	407
762	406
763	405
764	404
765	403
766	402
767	401
768	400
769	399
770	398
771	397
772	396
773	395
774	394
775	393
776	392
777	391
778	390
779	389
780	388
781	387
782	386
783	385
784	384
785	383
786	382
787	381
788	380
789	379
790	378
791	377
792	376
793	375
794	374
795	373
796	372
797	371
798	370
799	369
800	368
801	367
802	366
803	365
804	364
805	363
806	362
807	361
808	360
809	359
810	358
811	357
812	356
813	355
814	354
815	353
816	352
817	351
818	350
819	349
820	348
821	347
822	346
823	345
824	344
825	343
826	342
827	341
828	340
829	339
830	338
831	337
832	336
833	335
834	334
835	333
836	332
837	331
838	330
839	329
840	328
841	327
842	326
843	325
844	324
845	323
846	322
847	321
848	320
849	319
850	318
851	317
852	316
853	315
854	314
855	313
856	312
857	311
858	310
859	309
860	308
861	307
862	306
863	305
864	304
865	303
866	302
867	301
868	300
869	299
870	298
871	297
872	296
873	295
874	294
875	293
876	292
877	291
878	290
879	289
880	288
881	287
882	286
883	285
884	284
885	283
886	282
887	281
888	280
889	279
890	278
891	277
892	276
893	275
894	274
895	273
896	272
897	271
898	270
899	269
900	268
901	267
902	266
903	265
904	264
905	263
906	262
907	261
908	260
909	259
910	258
911	257
912	256
913	255
914	254
915	253
916	252
917	251
918	250
919	249
920	248
921	247
922	246
923	245
924	244
925	243
926	242
927	241
928	240
929	239
930	238
931	237
932	236
933	235
934	234
935	233
936	232
937	231
938	230
939	229
940	228
941	227
942	226
943	225
944	224
945	223
946	222
947	221
948	220
949	219
950	218
951	217
952	216
953	215
954	214
955	213
956	212
957	211
958	210
959	248
960	247
961	246
962	245
963	244
964	243
965	242
966	241
967	240
968	239
969	238
970	237
971	236
972	235
973	234
974	233
975	232
976	231
977	230
978	229
979	228
980	227
981	226
982	225
983	224
984	223
985	222
986	221
987	220
988	219
989	218
990	217
991	216
992	215
993	214
994	213
995	212
996	211
997	210
998	209
999	208
1000	207
1001	206
1002	205
1003	204
1004	203
1005	202
1006	201
1007	200
1008	199
1009	198
1010	197
1011	196
1012	195
1013	194
1014	193
1015	192
1016	191
1017	295
1018	294
1019	293
1020	292
1021	291
1022	290
1023	289
1024	288
1025	287
1026	286
1027	285
1028	284
1029	283
1030	282
1031	281
1032	280
1033	279
1034	278
1035	277
1036	550
1037	549
1038	548
1039	547
1040	546
1041	545
1042	544
1043	543
1044	542
1045	541
1046	540
1047	539
1048	538
1049	537
1050	536
1051	535
1052	534
1053	533
1054	532
1055	531
1056	530
1057	529
1058	528
1059	527
1060	526
1061	525
1062	524
1063	523
1064	522
1065	521
1066	520
1067	519
1068	518
1069	517
1070	516
1071	515
1072	514
1073	513
1074	512
1075	511
1076	510
1077	509
1078	508
1079	507
1080	506
1081	505
1082	504
1083	503
1084	502
1085	501
1086	500
1087	499
1088	498
1089	497
1090	496
1091	495
1092	494
1093	493
1094	492
1095	491
1096	490
1097	489
1098	488
1099	487
1100	486
1101	485
1102	484
1103	483
1104	482
1105	481
1106	480
1107	479
1108	478
1109	477
1110	476
1111	475
1112	474
1113	473
1114	472
1115	471
1116	470
1117	469
1118	468
1119	467
1120	466
1121	465
1122	464
1123	463
1124	462
1125	461
1126	460
1127	459
1128	458
1129	457
1130	456
1131	455
1132	454
1133	453
1134	452
1135	451
1136	450
1137	449
1138	448
1139	447
1140	446
1141	445
1142	444
1143	443
1144	442
1145	441
1146	440
1147	439
1148	438
1149	437
1150	436
1151	435
1152	434
1153	433
1154	432
1155	431
1156	430
1157	429
1158	428
1159	427
1160	426
1161	425
1162	424
1163	423
1164	422
1165	421
1166	420
1167	419
1168	418
1169	417
1170	416
1171	415
1172	414
1173	413
1174	412
1175	411
1176	410
1177	409
1178	408
1179	407
1180	406
1181	405
1182	404
1183	403
1184	402
1185	401
1186	400
1187	399
1188	398
1189	397
1190	396
1191	395
1192	394
1193	393
1194	392
1195	391
1196	390
1197	389
1198	388
1199	387
1200	386
1201	385
1202	384
1203	383
1204	382
1205	381
1206	380
1207	379
1208	378
1209	377
1210	376
1211	375
1212	374
1213	373
1214	372
1215	371
1216	370
1217	369
1218	368
1219	367
1220	366
1221	365
1222	364
1223	363
1224	362
1225	361
1226	360
1227	359
1228	358
1229	357
1230	356
1231	355
1232	354
1233	353
1234	352
1235	351
1236	350
1237	349
1238	348
1239	347
1240	346
1241	345
1242	344
1243	343
1244	342
1245	341
1246	340
1247	339
1248	338
1249	337
1250	336
1251	335
1252	334
1253	333
1254	332
1255	331
1256	330
1257	329
1258	328
1259	327
1260	326
1261	325
1262	324
1263	323
1264	322
1265	321
1266	320
1267	319
1268	318
1269	317
1270	316
1271	315
1272	314
1273	313
1274	312
1275	311
1276	310
1277	309
1278	308
1279	307
1280	306
1281	305
1282	304
1283	303
1284	302
1285	301
1286	300
1287	299
1288	298
1289	297
1290	296
1291	295
1292	294
1293	293
1294	292
1295	291
1296	290
1297	289
1298	288
1299	287
1300	286
1301	285
1302	284
1303	283
1304	282
1305	281
1306	280
1307	279
1308	278
1309	277
1310	276
1311	275
1312	274
1313	273
1314	272
1315	271
1316	270
1317	269
1318	268
1319	267
1320	266
1321	265
1322	264
1323	263
1324	262
1325	261
1326	260
1327	259
1328	258
1329	257
1330	256
1331	255
1332	254
1333	253
1334	252
1335	251
1336	250
1337	249
1338	248
1339	247
1340	246
1341	245
1342	244
1343	243
1344	242
1345	241
1346	240
1347	239
1348	238
1349	237
1350	236
1351	235
1352	234
1353	233
1354	232
1355	231
1356	230
1357	229
1358	228
1359	227
1360	226
1361	225
1362	224
1363	223
1364	222
1365	221
1366	220
1367	219
1368	218
1369	217
1370	216
1371	215
1372	214
1373	213
1374	212
1375	211
1376	210
1377	209
1378	208
1379	207
1380	206
1381	205
1382	204
1383	203
1384	202
1385	201
1386	200
1387	199
1388	198
1389	197
1390	196
1391	195
1392	194
1393	193
1394	192
1395	191
1396	190
1397	189
1398	188
1399	187
1400	186
1401	185
1402	184
1403	183
1404	182
1405	181
1406	180
1407	179
1408	178
1409	177
1410	176
1411	175
1412	174
1413	173
1414	172
1415	171
1416	170
1417	169
1418	168
1419	167
1420	166
1421	165
1422	164
1423	163
1424	162
1425	161
1426	160
1427	159
1428	158
1429	157
1430	156
1431	155
1432	154
1433	153
1434	152
1435	151
1436	150
1437	149
1438	148
1439	147
1440	146
1441	145
1442	144
1443	143
1444	142
1445	141
1446	140
1447	139
1448	138
1449	137
1450	136
1451	135
1452	134
1453	133
1454	132
1455	131
1456	130
1457	129
1458	128
1459	127
1460	126
1461	125
1462	124
1463	123
1464	122
1465	121
1466	120
1467	119
1468	118
1469	117
1470	116
1471	115
1472	114
1473	113
1474	112
1475	111
1476	110
1477	109
1478	108
1479	107
1480	106
1481	105
1482	104
1483	103
1484	102
1485	101
1486	100
1487	99
1488	98
1489	97
1490	96
1491	95
1492	94
1493	93
1494	92
1495	91
1496	90
1497	89
1498	88
1499	87
1500	86
1501	85
1502	84
1503	83
1504	82
1505	81
1506	80
1507	79
1508	78
1509	77
1510	76
1511	75
1512	74
1513	73
1514	72
1515	71
1516	70
1517	69
1518	68
1519	67
1520	66
1521	65
1522	64
1523	63
1524	62
1525	61
1526	60
1527	59
1528	58
1529	57
1530	56
1531	55
1532	54
1533	53
1534	52
1535	51
1536	50
1537	49
1538	48
1539	47
1540	46
1541	45
1542	44
1543	43
1544	42
1545	41
1546	40
1547	39
1548	38
1549	37
1550	36
1551	35
1552	34
1553	33
1554	32
1555	31
1556	30
1557	29
1558	28
1559	27
1560	26
1561	25
1562	24
1563	23
1564	22
1565	21
1566	20
1567	19
1568	18
1569	17
1570	16
1571	15
1572	14
1573	13
1574	12
1575	11
1576	10
1577	9
1578	8
1579	7
1580	6
1581	6
1582	8
1583	7
1584	6
1585	9
1586	41
1587	40
1588	39
1589	38
1590	37
1591	36
1592	35
1593	34
1594	33
1595	32
1596	31
1597	30
1598	29
1599	28
1600	27
1601	26
1602	25
1603	24
1604	23
1605	22
1606	21
1607	20
1608	19
1609	18
1610	17
1611	16
1612	15
1613	14
1614	13
1615	12
1616	11
1617	10
1618	9
1619	8
1620	7
1621	6
1622	6
1623	5
1624	6
1625	7
1626	6
1627	362
1628	361
1629	360
1630	359
1631	358
1632	357
1633	356
1634	355
1635	354
1636	353
1637	352
1638	351
1639	350
1640	349
1641	348
1642	347
1643	346
1644	345
1645	344
1646	343
1647	342
1648	341
1649	340
1650	339
1651	338
1652	337
1653	336
1654	335
1655	334
1656	333
1657	332
1658	331
1659	330
1660	329
1661	328
1662	327
1663	326
1664	325
1665	324
1666	323
1667	322
1668	321
1669	320
1670	319
1671	318
1672	317
1673	316
1674	315
1675	314
1676	313
1677	312
1678	311
1679	310
1680	309
1681	308
1682	307
1683	306
1684	305
1685	304
1686	303
1687	302
1688	301
1689	300
1690	299
1691	298
1692	297
1693	296
1694	295
1695	294
1696	293
1697	292
1698	291
1699	290
1700	289
1701	288
1702	287
1703	286
1704	285
1705	284
1706	283
1707	282
1708	281
1709	280
1710	279
1711	278
1712	277
1713	276
1714	275
1715	274
1716	273
1717	272
1718	271
1719	270
1720	269
1721	268
1722	267
1723	266
1724	265
1725	264
1726	263
1727	262
1728	261
1729	260
1730	259
1731	258
1732	257
1733	256
1734	255
1735	254
1736	253
1737	252
1738	251
1739	250
1740	249
1741	248
1742	247
1743	246
1744	245
1745	244
1746	243
1747	242
1748	241
1749	240
1750	239
1751	238
1752	237
1753	236
1754	235
1755	234
1756	233
1757	232
1758	231
1759	230
1760	229
1761	228
1762	227
1763	226
1764	225
1765	224
1766	223
1767	222
1768	221
1769	220
1770	219
1771	218
1772	217
1773	216
1774	215
1775	214
1776	213
1777	212
1778	211
1779	210
1780	209
1781	208
1782	207
1783	206
1784	205
1785	204
1786	203
1787	202
1788	201
1789	200
1790	199
1791	198
1792	197
1793	196
1794	195
1795	194
1796	193
1797	192
1798	191
1799	190
1800	189
1801	188
1802	187
1803	186
1804	185
1805	184
1806	183
1807	182
1808	181
1809	180
1810	179
1811	178
1812	177
1813	176
1814	175
1815	174
1816	173
1817	172
1818	171
1819	170
1820	169
1821	168
1822	167
1823	166
1824	165
1825	164
1826	163
1827	162
1828	161
1829	160
1830	159
1831	158
1832	157
1833	156
1834	155
1835	154
1836	153
1837	152
1838	151
1839	150
1840	149
1841	148
1842	147
1843	146
1844	145
1845	144
1846	143
1847	142
1848	141
1849	140
1850	139
1851	138
1852	137
1853	136
1854	135
1855	134
1856	133
1857	132
1858	131
1859	130
1860	129
1861	128
1862	127
1863	126
1864	125
1865	124
1866	123
1867	122
1868	121
1869	120
1870	119
1871	118
1872	117
1873	116
1874	115
1875	114
1876	113
1877	112
1878	111
1879	110
1880	109
1881	108
1882	107
1883	106
1884	105
1885	104
1886	103
1887	102
1888	101
1889	100
1890	99
1891	98
1892	97
1893	96
1894	95
1895	94
1896	93
1897	92
1898	91
1899	90
1900	89
1901	88
1902	87
1903	86
1904	85
1905	84
1906	83
1907	82
1908	81
1909	80
1910	79
1911	78
1912	77
1913	76
1914	75
1915	74
1916	73
1917	72
1918	71
1919	70
1920	69
1921	68
1922	67
1923	66
1924	65
1925	64
1926	63
1927	62
1928	61
1929	60
1930	59
1931	58
1932	57
1933	56
1934	55
1935	54
1936	53
1937	52
1938	51
1939	50
1940	49
1941	48
1942	47
1943	46
1944	45
1945	44
1946	43
1947	42
1948	41
1949	40
1950	39
1951	38
1952	37
1953	36
1954	35
1955	34
1956	33
1957	32
1958	31
1959	30
1960	29
1961	28
1962	27
1963	26
1964	25
1965	24
1966	23
1967	22
1968	21
1969	20
1970	19
1971	18
1972	17
1973	16
1974	15
1975	14
1976	13
1977	12
1978	11
1979	10
1980	9
1981	8
1982	7
1983	6
1984	6
1985	6
1986	6
1987	6
1988	6
1989	756
1990	755
1991	754
1992	753
1993	752
1994	751
1995	750
1996	749
1997	748
1998	747
1999	746
2000	745
2001	744
2002	743
2003	742
2004	741
2005	740
2006	739
2007	738
2008	737
2009	736
2010	735
2011	734
2012	733
2013	732
2014	731
2015	730
2016	729
2017	728
2018	727
2019	726
2020	725
2021	724
2022	723
2023	722
2024	721
2025	720
2026	719
2027	718
2028	717
2029	716
2030	715
2031	714
2032	713
2033	712
2034	711
2035	710
2036	709
2037	708
2038	707
2039	706
2040	705
2041	704
2042	703
2043	702
2044	701
2045	700
2046	699
2047	698
2048	697
2049	696
2050	695
2051	694
2052	693
2053	692
2054	691
2055	690
2056	689
2057	688
2058	687
2059	686
2060	685
2061	684
2062	683
2063	682
2064	681
2065	680
2066	679
2067	678
2068	677
2069	676
2070	675
2071	674
2072	673
2073	672
2074	671
2075	670
2076	669
2077	668
2078	667
2079	666
2080	665
2081	664
2082	663
2083	662
2084	661
2085	660
2086	659
2087	658
2088	657
2089	656
2090	655
2091	654
2092	653
2093	652
2094	651
2095	650
2096	649
2097	648
2098	647
2099	646
2100	645
2101	644
2102	643
2103	642
2104	641
2105	640
2106	639
2107	638
2108	637
2109	636
2110	635
2111	634
2112	633
2113	632
2114	631
2115	630
2116	629
2117	628
2118	627
2119	626
2120	625
2121	624
2122	623
2123	622
2124	621
2125	620
2126	619
2127	618
2128	617
2129	616
2130	615
2131	614
2132	613
2133	612
2134	611
2135	610
2136	609
2137	608
2138	607
2139	606
2140	605
2141	604
2142	603
2143	602
2144	601
2145	600
2146	599
2147	598
2148	597
2149	596
2150	595
2151	594
2152	593
2153	592
2154	591
2155	590
2156	589
2157	588
2158	587
2159	586
2160	585
2161	584
2162	583
2163	582
2164	581
2165	580
2166	579
2167	578
2168	577
2169	576
2170	575
2171	574
2172	573
2173	572
2174	571
2175	570
2176	569
2177	568
2178	567
2179	566
2180	565
2181	564
2182	563
2183	562
2184	561
2185	560
2186	559
2187	558
2188	557
2189	556
2190	555
2191	554
2192	553
2193	552
2194	551
2195	550
2196	549
2197	548
2198	547
2199	546
2200	545
2201	544
2202	543
2203	542
2204	541
2205	540
2206	539
2207	538
2208	537
2209	536
2210	535
2211	534
2212	533
2213	532
2214	531
2215	530
2216	529
2217	528
2218	527
2219	526
2220	525
2221	524
2222	523
2223	522
2224	521
2225	520
2226	519
2227	518
2228	517
2229	516
2230	515
2231	514
2232	513
2233	512
2234	511
2235	510
2236	509
2237	508
2238	507
2239	506
2240	505
2241	504
2242	503
2243	502
2244	501
2245	500
2246	499
2247	498
2248	497
2249	496
2250	495
2251	494
2252	493
2253	492
2254	491
2255	490
2256	489
2257	488
2258	487
2259	486
2260	485
2261	484
2262	483
2263	482
2264	481
2265	480
2266	479
2267	478
2268	477
2269	476
2270	475
2271	474
2272	473
2273	472
2274	471
2275	470
2276	469
2277	468
2278	467
2279	466
2280	465
2281	464
2282	463
2283	462
2284	461
2285	460
2286	459
2287	458
2288	457
2289	456
2290	455
2291	454
2292	453
2293	452
2294	451
2295	450
2296	449
2297	448
2298	447
2299	446
2300	445
2301	444
2302	443
2303	442
2304	441
2305	440
2306	439
2307	438
2308	437
2309	436
2310	435
2311	434
2312	433
2313	432
2314	431
2315	430
2316	429
2317	428
2318	427
2319	426
2320	425
2321	424
2322	423
2323	422
2324	421
2325	420
2326	419
2327	418
2328	417
2329	416
2330	415
2331	414
2332	413
2333	412
2334	411
2335	410
2336	409
2337	408
2338	407
2339	406
2340	405
2341	404
2342	403
2343	402
2344	401
2345	400
2346	399
2347	398
2348	397
2349	396
2350	395
2351	394
2352	393
2353	392
2354	391
2355	390
2356	389
2357	388
2358	387
2359	386
2360	385
2361	384
2362	383
2363	382
2364	381
2365	380
2366	379
2367	378
2368	377
2369	376
2370	375
2371	374
2372	373
2373	372
2374	371
2375	370
2376	369
2377	368
2378	367
2379	366
2380	365
2381	364
2382	363
2383	362
2384	361
2385	360
2386	359
2387	358
2388	357
2389	356
2390	355
2391	354
2392	353
2393	352
2394	351
2395	350
2396	349
2397	348
2398	347
2399	346
2400	345
2401	344
2402	343
2403	342
2404	341
2405	340
2406	339
2407	338
2408	337
2409	336
2410	335
2411	334
2412	333
2413	332
2414	331
2415	330
2416	329
2417	328
2418	327
2419	326
2420	325
2421	324
2422	323
2423	322
2424	321
2425	320
2426	319
2427	318
2428	317
2429	316
2430	315
2431	314
2432	313
2433	312
2434	311
2435	310
2436	309
2437	308
2438	307
2439	306
2440	305
2441	304
2442	303
2443	302
2444	301
2445	300
2446	299
2447	298
2448	297
2449	296
2450	295
2451	294
2452	293
2453	292
2454	291
2455	290
2456	289
2457	288
2458	287
2459	286
2460	285
2461	284
2462	283
2463	282
2464	281
2465	280
2466	279
2467	278
2468	277
2469	276
2470	275
2471	274
2472	273
2473	272
2474	271
2475	270
2476	269
2477	268
2478	267
2479	266
2480	265
2481	264
2482	263
2483	262
2484	261
2485	260
2486	259
2487	258
2488	257
2489	256
2490	255
2491	254
2492	253
2493	252
2494	251
2495	250
2496	249
2497	248
2498	247
2499	246
2500	245
2501	244
2502	243
2503	242
2504	241
2505	240
2506	239
2507	238
2508	237
2509	236
2510	235
2511	234
2512	233
2513	232
2514	231
2515	230
2516	229
2517	228
2518	227
2519	226
2520	225
2521	224
2522	223
2523	222
2524	221
2525	220
2526	219
2527	218
2528	217
2529	216
2530	215
2531	214
2532	213
2533	212
2534	211
2535	210
2536	209
2537	208
2538	207
2539	206
2540	205
2541	204
2542	203
2543	202
2544	201
2545	200
2546	199
2547	198
2548	197
2549	196
2550	195
2551	194
2552	193
2553	192
2554	191
2555	190
2556	189
2557	188
2558	187
2559	186
2560	185
2561	184
2562	183
2563	182
2564	181
2565	180
2566	179
2567	178
2568	177
2569	176
2570	175
2571	174
2572	173
2573	172
2574	171
2575	170
2576	169
2577	168
2578	167
2579	166
2580	165
2581	164
2582	163
2583	162
2584	161
2585	160
2586	159
2587	158
2588	157
2589	156
2590	155
2591	154
2592	153
2593	152
2594	151
2595	150
2596	149
2597	148
2598	147
2599	146
2600	145
2601	144
2602	143
2603	142
2604	141
2605	140
2606	139
2607	138
2608	137
2609	136
2610	135
2611	134
2612	133
2613	132
2614	131
2615	130
2616	129
2617	128
2618	127
2619	126
2620	125
2621	124
2622	123
2623	122
2624	121
2625	120
2626	119
2627	118
2628	117
2629	116
2630	115
2631	114
2632	113
2633	112
2634	111
2635	110
2636	109
2637	108
2638	107
2639	106
2640	105
2641	104
2642	103
2643	102
2644	101
2645	100
2646	99
2647	98
2648	97
2649	96
2650	95
2651	94
2652	93
2653	92
2654	91
2655	90
2656	89
2657	88
2658	87
2659	86
2660	85
2661	84
2662	83
2663	82
2664	81
2665	80
2666	79
2667	78
2668	77
2669	76
2670	75
2671	74
2672	73
2673	72
2674	71
2675	70
2676	69
2677	68
2678	67
2679	66
2680	65
2681	64
2682	63
2683	62
2684	61
2685	60
2686	59
2687	58
2688	57
2689	56
2690	55
2691	54
2692	53
2693	52
2694	51
2695	50
2696	49
2697	48
2698	47
2699	46
2700	45
2701	44
2702	43
2703	42
2704	41
2705	40
2706	39
2707	38
2708	37
2709	36
2710	35
2711	34
2712	33
2713	32
2714	31
2715	30
2716	29
2717	28
2718	27
2719	26
2720	25
2721	24
2722	23
2723	22
2724	21
2725	20
2726	19
2727	18
2728	17
2729	16
2730	15
2731	14
2732	13
2733	12
2734	11
2735	10
2736	9
2737	8
2738	7
2739	7
2740	6
2741	6
2742	6
2743	5
2744	7
2745	428
2746	427
2747	426
2748	425
2749	424
2750	423
2751	422
2752	421
2753	420
2754	419
2755	418
2756	417
2757	416
2758	415
2759	414
2760	413
2761	412
2762	411
2763	410
2764	409
2765	408
2766	407
2767	406
2768	405
2769	404
2770	403
2771	402
2772	401
2773	400
2774	399
2775	398
2776	397
2777	396
2778	395
2779	394
2780	393
2781	392
2782	391
2783	390
2784	389
2785	388
2786	387
2787	386
2788	385
2789	384
2790	383
2791	382
2792	381
2793	380
2794	379
2795	378
2796	377
2797	376
2798	375
2799	374
2800	373
2801	372
2802	371
2803	370
2804	369
2805	368
2806	367
2807	366
2808	365
2809	364
2810	363
2811	362
2812	361
2813	360
2814	359
2815	358
2816	357
2817	356
2818	355
2819	354
2820	353
2821	352
2822	351
2823	350
2824	349
2825	348
2826	347
2827	346
2828	345
2829	344
2830	343
2831	342
2832	341
2833	340
2834	339
2835	338
2836	337
2837	336
2838	335
2839	334
2840	333
2841	332
2842	331
2843	330
2844	329
2845	328
2846	327
2847	326
2848	325
2849	324
2850	323
2851	322
2852	321
2853	320
2854	319
2855	318
2856	317
2857	316
2858	315
2859	314
2860	313
2861	312
2862	311
2863	310
2864	309
2865	308
2866	307
2867	306
2868	305
2869	304
2870	303
2871	302
2872	301
2873	300
2874	299
2875	298
2876	297
2877	296
2878	295
2879	294
2880	293
2881	292
2882	291
2883	290
2884	289
2885	288
2886	287
2887	286
2888	285
2889	284
2890	283
2891	282
2892	281
2893	280
2894	279
2895	278
2896	277
2897	276
2898	275
2899	274
2900	273
2901	272
2902	271
2903	270
2904	269
2905	268
2906	267
2907	266
2908	265
2909	264
2910	263
2911	262
2912	261
2913	260
2914	259
2915	258
2916	257
2917	256
2918	255
2919	254
2920	253
2921	252
2922	251
2923	250
2924	249
2925	248
2926	247
2927	246
2928	245
2929	244
2930	243
2931	242
2932	241
2933	240
2934	239
2935	238
2936	237
2937	236
2938	235
2939	234
2940	233
2941	232
2942	231
2943	230
2944	229
2945	228
2946	227
2947	226
2948	225
2949	224
2950	223
2951	222
2952	221
2953	220
2954	219
2955	218
2956	217
2957	216
2958	215
2959	214
2960	213
2961	212
2962	211
2963	210
2964	209
2965	208
2966	207
2967	206
2968	205
2969	204
2970	203
2971	202
2972	201
2973	200
2974	199
2975	198
2976	197
2977	196
2978	195
2979	194
2980	193
2981	192
2982	191
2983	190
2984	189
2985	188
2986	187
2987	186
2988	185
2989	184
2990	183
2991	182
2992	181
2993	180
2994	179
2995	178
2996	177
